PAFS_LRMA_NAME,POL_LRMA_NAME
Allerdale District Council,Allerdale Borough Council
Barnsley Borough Council,Barnsley Metropolitan Borough Council
Barrow in Furness Borough Council,Barrow-in-Furness Borough Council
Blackpool Council,Blackpool Borough Council
Bolton Borough Council,Bolton Metropolitan Borough Council
Kings Lynn and West Norfolk Borough Council,Borough Council of King's Lynn and West Norfolk
Bracknell Forest Borough Council,Bracknell Forest Council
Bury Borough Council,Bury Metropolitan Borough Council
Calderdale Borough Council,Calderdale Metropolitan Borough Council
Castle Point District Council,Castle Point Borough Council
Bradford City Council,City of Bradford Metropolitan District Council
Lincoln City Council,City of Lincoln Council
City of London,City of London Corporation
London Borough of Westminster,City of Westminster
Wolverhampton City Council,City of Wolverhampton Council
Doncaster Borough Council,Doncaster Metropolitan Borough Council
Dudley Borough Council,Dudley Metropolitan Borough Council
East Northamptonshire District Council,East Northamptonshire Council
Shepway District Council,Folkestone and Hythe Council
Gateshead Borough Council,Gateshead Metropolitan Borough Council
Kingston upon Hull City Council,Hull City Council
Kirklees Borough Council,Kirklees Council
Knowsley Borough Council,Knowsley Metropolitan Borough Council
Lichfield City Council,Lichfield District Council
London Borough of Hammersmith and Fulham,London Borough of Hammersmith & Fulham
Newcastle Upon Tyne City Council,Newcastle City Council
Newcastle Under Lyme Borough Council,Newcastle-Under-Lyme Borough Council
North Tyneside Borough Council,North Tyneside Council
Oldham Borough Council,Oldham Metropolitan Borough Council
Rochdale Borough Council,Rochdale Metropolitan Borough Council
Rotherham Borough Council,Rotherham Metropolitan Borough Council
London Borough of Greenwich,Royal Borough of Greenwich
Sandwell Borough Council,Sandwell Metropolitan Borough Council
Sefton Borough Council,Sefton Metropolitan Borough Council
Solihull Borough Council,Solihull Metropolitan Borough Council
South Buckinghamshire District Council,South Bucks District Council
South Northamptonshire District Council,South Northamptonshire Council
South Staffordshire District Council,South Staffordshire Council
South Tyneside Borough Council,South Tyneside Council
Southend on Sea Borough Council,Southend-on-Sea Borough Council
St Albans City Council,St Albans City and District Council
St Helens Borough Council,St Helens Council
Stockport Borough Council,Stockport Metropolitan Borough Council
Stockton on Tees Borough Council,Stockton-on-Tees Borough Council
Stoke on Trent City Council,Stoke-on-Trent City Council
